OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Expected Annual Loss - Score - Composite,Expected Annual Loss - Rating - Composite,Expected Annual Loss - State Percentile - Composite,Expected Annual Loss - Total - Composite,Expected Annual Loss - Building Value - Composite,Expected Annual Loss - Population - Composite,Expected Annual Loss - Population Equivalence - Composite,Expected Annual Loss - Agriculture Value - Composite,Expected Annual Loss Rate - Building - Composite,Expected Annual Loss Rate - Population - Composite,Expected Annual Loss Rate - Agriculture - Composite,Expected Annual Loss Rate - National Percentile - Composite,Social Vulnerability and Community Resilience Adjusted Expected Annual Loss Rate - National Percentile - Composite,National Risk Index Version
24025,T15001021204,Hawaii,HI,15,Hawaii,County,001,15001,021204,15001021204,2855,431675256,7794577,169.92544764,95.8416515959321,Relatively High,90.3448275862069,5011401.35176211,3832059.49924128,0.085925576959746,1177180.40444951,2161.44844404069,0.00996515287797566,3.0096524329158E-05,0.000311287190495267,91.6104939286469,92.1705730560213,December 2025
24026,T15001021300,Hawaii,HI,15,Hawaii,County,001,15001,021300,15001021300,5913,975908646,40875946,338.78026104,99.1145454118421,Very High,96.551724137931,9427606.25265942,8158803.69806384,0.0905504125436983,1240540.65173937,28261.9027595186,0.00938482535422704,1.53137853109586E-05,0.000776144291809249,97.7382154684454,97.7322726029515,December 2025
24027,T15001021402,Hawaii,HI,15,Hawaii,County,001,15001,021402,15001021402,3876,906219252,5340816,18.81936849,95.3730887568405,Relatively High,89.6551724137931,4791761.21904741,4018798.18890236,0.0559591309953793,766640.094521539,6322.9355082402,0.00497819369683539,1.44373402980855E-05,0.00132898492685783,94.8364140263523,94.8913702686312,December 2025
24028,T15001021502,Hawaii,HI,15,Hawaii,County,001,15001,021502,15001021502,5432,950596034,16940046,365.81452635,95.8592667402588,Relatively High,90.5747126436782,5023526.87617323,4496496.20067708,0.0381742701304429,522987.500970977,4043.17438830197,0.00530990938331983,7.02766386790186E-06,0.000267927179188567,98.0235808065387,96.9236440607423,December 2025
24029,T15001021504,Hawaii,HI,15,Hawaii,County,001,15001,021504,15001021504,5932,1489513611,16685,14.92412688,98.0353242360899,Very High,93.3333333333333,6760324.52940958,5752512.91951615,0.0735628268712877,1007810.72800467,0.881597570369088,0.00433532842389371,1.24010159931368E-05,5.93149142413435E-05,94.0296404161871,96.4087379448943,December 2025
24030,T15001021510,Hawaii,HI,15,Hawaii,County,001,15001,021510,15001021510,3550,1253964520,1263701,12.89349633,96.2374051718064,Relatively High,91.0344827586207,5215434.07475033,4537523.55632349,0.0494498837731668,677463.407783135,447.118753649586,0.00406202433249203,1.39295447248357E-05,0.000397180107227545,94.4547525659394,97.2685003508021,December 2025
24031,T15001021511,Hawaii,HI,15,Hawaii,County,001,15001,021511,15001021511,1568,261669134,806989,1.36789965,35.6741902905325,Relatively Low,30.5747126436782,1049520.14196215,918112.469854572,0.0095822500733499,131276.826088594,130.845987218169,0.00393869421784064,6.11112887330989E-06,0.000182012910610168,94.3972097611386,93.0719560486604,December 2025
24032,T15001021512,Hawaii,HI,15,Hawaii,County,001,15001,021512,15001021512,4531,686393852,489784,6.75288159,85.8350752753834,Relatively High,78.3908045977011,2963908.35818745,2657250.9313024,0.0223794134337486,306597.964066096,59.4637582140272,0.00434578323481625,4.9391775400019E-06,0.000136287864623839,96.6507738920074,96.6061384419631,December 2025
24033,T15001021513,Hawaii,HI,15,Hawaii,County,001,15001,021513,15001021513,6109,1680242360,474845,107.37568842,99.1673908448223,Very High,97.0114942528736,9644248.41094893,9268680.54499499,0.0274049602162589,375447.955047307,119.905306013629,0.00619234096174459,4.48599774369928E-06,0.000283462740161109,99.788618268079,99.5588217806476,December 2025
24034,T15001021605,Hawaii,HI,15,Hawaii,County,001,15001,021605,15001021605,3787,1324028715,542345,5.94224943,98.2748901989337,Very High,93.7931034482759,7113613.05929475,5469391.98796432,0.119965598431372,1643528.6984798,692.371733852051,0.0046371433631346,3.16782673439059E-05,0.00143308723240195,89.093876975832,86.987026268536,December 2025
