OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Tornado - Number of Events,Tornado - Annualized Frequency,Tornado - Exposure - Impacted Area (sq mi),Tornado - Exposure - Building Value,Tornado - Exposure - Population,Tornado - Exposure - Population Equivalence,Tornado - Exposure - Agriculture Value,Tornado - Exposure - Total,Tornado - Historic Loss Ratio - Buildings,Tornado - Historic Loss Ratio - Population,Tornado - Historic Loss Ratio - Agriculture,Tornado - Historic Loss Ratio - Total Rating,Tornado - Expected Annual Loss - Building Value,Tornado - Expected Annual Loss - Population,Tornado - Expected Annual Loss - Population Equivalence,Tornado - Expected Annual Loss - Agriculture Value,Tornado - Expected Annual Loss - Total,Tornado - Expected Annual Loss Score,Tornado - Expected Annual Loss Rating,Tornado - Expected Annual Loss Rate - Building,Tornado - Expected Annual Loss Rate - Population,Tornado - Expected Annual Loss Rate - Agriculture,Tornado - Expected Annual Loss Rate - National Percentile,Tornado - Hazard Type Risk Index Value,Tornado - Hazard Type Risk Index Score,Tornado - Hazard Type Risk Index Rating,National Risk Index Version
24046,T15003000107,Hawaii,HI,15,Honolulu,County,003,15003,000107,15003000107,2740,"420,741,753.00","40,385.00",1.18,0.00,0.00,0.99,"420,741,753.00","2,740.00","37,538,000,000.00","40,385.00","37,958,782,138.00",0.13,0.00,0.04,Very Low,"1,146.94",0.00,642.85,0.03,"1,789.83",4.92,Very Low,0.00,0.00,0.00,14.92,"1,407.35",3.45,Very Low,December 2025
24047,T15003000108,Hawaii,HI,15,Honolulu,County,003,15003,000108,15003000108,3213,"708,351,504.00",0.00,0.54,0.00,0.00,0.54,"708,351,504.00","3,213.00","44,018,100,000.00",0.00,"44,726,451,504.00",0.28,0.00,0.00,Very Low,"1,930.96",0.00,753.83,0.00,"2,684.78",6.95,Very Low,0.00,0.00,0.00,16.26,"2,720.02",5.68,Very Low,December 2025
24048,T15003000110,Hawaii,HI,15,Honolulu,County,003,15003,000110,15003000110,4254,"738,534,784.00",0.00,3.00,0.00,0.00,2.62,"738,534,784.00","4,254.00","58,279,800,000.00",0.00,"59,018,334,784.00",0.05,0.00,0.00,Very Low,"2,013.24",0.00,998.07,0.00,"3,011.31",7.71,Very Low,0.00,0.00,0.00,15.46,"3,589.84",7.51,Very Low,December 2025
24049,T15003000114,Hawaii,HI,15,Honolulu,County,003,15003,000114,15003000114,1722,"581,702,437.00",0.00,0.75,0.00,0.00,0.75,"581,702,437.00","1,722.00","23,591,400,000.00",0.00,"24,173,102,437.00",0.20,0.00,0.00,Very Low,"1,585.72",0.00,404.01,0.00,"1,989.73",5.36,Very Low,0.00,0.00,0.00,18.27,"1,808.68",4.13,Very Low,December 2025
24050,T15003000115,Hawaii,HI,15,Honolulu,County,003,15003,000115,15003000115,2774,"416,834,188.00",0.00,1.20,0.00,0.00,1.03,"416,834,188.00","2,774.00","38,003,800,000.00",0.00,"38,420,634,188.00",0.12,0.00,0.00,Very Low,"1,136.29",0.00,650.83,0.00,"1,787.12",4.91,Very Low,0.00,0.00,0.00,14.74,"2,050.30",4.49,Very Low,December 2025
24051,T15003000116,Hawaii,HI,15,Honolulu,County,003,15003,000116,15003000116,2500,"332,294,641.00",0.00,0.47,0.00,0.00,0.41,"332,294,641.00","2,500.00","34,250,000,000.00",0.00,"34,582,294,641.00",0.32,0.00,0.00,Very Low,905.83,0.00,586.55,0.00,"1,492.38",4.29,Very Low,0.00,0.00,0.00,13.96,"1,570.97",3.72,Very Low,December 2025
24052,T15003000117,Hawaii,HI,15,Honolulu,County,003,15003,000117,15003000117,1464,"210,911,397.00",0.00,0.34,0.00,0.00,0.32,"210,911,397.00","1,464.00","20,056,800,000.00",0.00,"20,267,711,397.00",0.44,0.00,0.00,Very Low,574.94,0.00,343.48,0.00,918.42,2.94,Very Low,0.00,0.00,0.00,14.17,722.16,2.26,Very Low,December 2025
24053,T15003000118,Hawaii,HI,15,Honolulu,County,003,15003,000118,15003000118,1771,"285,011,674.00","112,491.00",1.07,0.00,0.00,0.82,"285,011,674.00","1,771.00","24,262,700,000.00","112,491.00","24,547,824,165.00",0.14,0.00,0.05,Very Low,776.94,0.00,415.51,0.11,"1,192.55",3.55,Very Low,0.00,0.00,0.00,15.04,937.71,2.62,Very Low,December 2025
24054,T15003000119,Hawaii,HI,15,Honolulu,County,003,15003,000119,15003000119,2195,"319,953,943.00",0.00,0.29,0.00,0.00,0.29,"319,953,943.00","2,195.00","30,071,500,000.00",0.00,"30,391,453,943.00",0.52,0.00,0.00,Very Low,872.19,0.00,514.99,0.00,"1,387.18",4.04,Very Low,0.00,0.00,0.00,14.49,"1,090.74",2.87,Very Low,December 2025
24055,T15003000120,Hawaii,HI,15,Honolulu,County,003,15003,000120,15003000120,2624,"504,925,697.00",0.00,0.87,0.00,0.00,0.77,"504,925,697.00","2,624.00","35,948,800,000.00",0.00,"36,453,725,697.00",0.17,0.00,0.00,Very Low,"1,376.42",0.00,615.64,0.00,"1,992.06",5.37,Very Low,0.00,0.00,0.00,16.22,"2,306.79",4.94,Very Low,December 2025
24056,T15003000121,Hawaii,HI,15,Honolulu,County,003,15003,000121,15003000121,2774,"491,381,281.00",0.00,0.32,0.00,0.00,0.32,"491,381,281.00","2,774.00","38,003,800,000.00",0.00,"38,495,181,281.00",0.47,0.00,0.00,Very Low,"1,339.50",0.00,650.83,0.00,"1,990.33",5.36,Very Low,0.00,0.00,0.00,15.61,"1,565.01",3.70,Very Low,December 2025
