OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Lightning - Number of Events,Lightning - Annualized Frequency,Lightning - Exposure - Impacted Area (sq mi),Lightning - Exposure - Building Value,Lightning - Exposure - Population,Lightning - Exposure - Population Equivalence,Lightning - Exposure - Total,Lightning - Historic Loss Ratio - Buildings,Lightning - Historic Loss Ratio - Population,Lightning - Historic Loss Ratio - Total Rating,Lightning - Expected Annual Loss - Building Value,Lightning - Expected Annual Loss - Population,Lightning - Expected Annual Loss - Population Equivalence,Lightning - Expected Annual Loss - Total,Lightning - Expected Annual Loss Score,Lightning - Expected Annual Loss Rating,Lightning - Expected Annual Loss Rate - Building,Lightning - Expected Annual Loss Rate - Population,Lightning - Expected Annual Loss Rate - National Percentile,Lightning - Hazard Type Risk Index Value,Lightning - Hazard Type Risk Index Score,Lightning - Hazard Type Risk Index Rating,National Risk Index Version
24114,T15003003103,Hawaii,HI,15,Honolulu,County,003,15003,003103,15003003103,1567,"254,393,001.00",0.00,1.76,"1,659.00",79.56,1.76,"254,393,001.00","1,567.00","21,467,900,000.00","21,722,293,001.00",0.00,0.00,Relatively High,693.18,0.00,"20,132.54","20,825.72",69.29,Relatively Moderate,0.00,0.00,56.02,"22,179.09",67.91,Relatively Moderate,December 2025
24115,T15003003104,Hawaii,HI,15,Honolulu,County,003,15003,003104,15003003104,2175,"416,250,673.00",0.00,0.34,"1,673.00",89.17,0.34,"416,250,673.00","2,175.00","29,797,500,000.00","30,213,750,673.00",0.00,0.00,Relatively High,"1,223.17",0.00,"29,990.47","31,213.64",82.33,Relatively High,0.00,0.00,61.07,"29,780.85",77.11,Relatively Moderate,December 2025
24116,T15003003404,Hawaii,HI,15,Honolulu,County,003,15003,003404,15003003404,4517,"611,754,376.00",0.00,0.10,"1,664.00",75.33,0.10,"611,754,376.00","4,517.00","61,882,900,000.00","62,494,654,376.00",0.00,0.00,Relatively High,"1,540.96",0.00,"53,600.42","55,141.37",94.10,Relatively High,0.00,0.00,50.04,"85,023.53",96.73,Very High,December 2025
24117,T15003003408,Hawaii,HI,15,Honolulu,County,003,15003,003408,15003003408,2256,"252,146,055.00",0.00,0.04,770.00,77.00,0.04,"252,146,055.00","2,256.00","30,907,200,000.00","31,159,346,055.00",0.00,0.00,Relatively High,639.21,0.00,"26,950.70","27,589.91",78.57,Relatively High,0.00,0.00,44.59,"32,514.11",79.71,Relatively High,December 2025
24118,T15003003409,Hawaii,HI,15,Honolulu,County,003,15003,003409,15003003409,1901,"241,294,964.00",0.00,0.03,616.00,77.00,0.03,"241,294,964.00","1,901.00","26,043,700,000.00","26,284,994,964.00",0.00,0.00,Relatively High,611.70,0.00,"22,709.79","23,321.49",73.12,Relatively Moderate,0.00,0.00,48.22,"27,098.81",74.22,Relatively Moderate,December 2025
24119,T15003003410,Hawaii,HI,15,Honolulu,County,003,15003,003410,15003003410,1482,"153,741,416.00",0.00,0.03,462.00,77.00,0.03,"153,741,416.00","1,482.00","20,303,400,000.00","20,457,141,416.00",0.00,0.00,Relatively High,389.74,0.00,"17,704.32","18,094.06",64.41,Relatively Moderate,0.00,0.00,42.59,"19,318.81",63.33,Relatively Moderate,December 2025
24120,T15003003411,Hawaii,HI,15,Honolulu,County,003,15003,003411,15003003411,1231,"139,895,379.00",0.00,0.02,462.00,77.00,0.02,"139,895,379.00","1,231.00","16,864,700,000.00","17,004,595,379.00",0.00,0.00,Relatively High,354.64,0.00,"14,705.81","15,060.46",57.91,Relatively Moderate,0.00,0.00,45.07,"14,582.97",54.10,Relatively Moderate,December 2025
24121,T15003003412,Hawaii,HI,15,Honolulu,County,003,15003,003412,15003003412,1618,"239,808,140.00",0.00,0.06,370.00,76.07,0.06,"239,808,140.00","1,618.00","22,166,600,000.00","22,406,408,140.00",0.00,0.00,Relatively High,606.33,0.00,"19,224.28","19,830.61",67.59,Relatively Moderate,0.00,0.00,52.69,"21,547.67",66.96,Relatively Moderate,December 2025
24122,T15003003413,Hawaii,HI,15,Honolulu,County,003,15003,003413,15003003413,2532,"295,198,402.00",0.00,0.06,"1,232.00",77.00,0.06,"295,198,402.00","2,532.00","34,688,400,000.00","34,983,598,402.00",0.00,0.00,Relatively High,748.35,0.00,"30,247.86","30,996.21",82.11,Relatively High,0.00,0.00,45.82,"33,278.60",80.41,Relatively High,December 2025
24123,T15003003414,Hawaii,HI,15,Honolulu,County,003,15003,003414,15003003414,4118,"546,844,676.00",0.00,0.10,"2,310.00",77.00,0.10,"546,844,676.00","4,118.00","56,416,600,000.00","56,963,444,676.00",0.00,0.00,Relatively High,"1,386.29",0.00,"49,194.58","50,580.87",92.98,Relatively High,0.00,0.00,49.52,"78,440.36",96.08,Very High,December 2025
24124,T15003003501,Hawaii,HI,15,Honolulu,County,003,15003,003501,15003003501,2286,"596,224,147.00",0.00,0.12,"1,893.00",79.09,0.12,"596,224,147.00","2,286.00","31,318,200,000.00","31,914,424,147.00",0.00,0.00,Relatively High,"1,559.59",0.00,"27,848.99","29,408.58",80.60,Relatively High,0.00,0.00,67.86,"50,019.79",90.03,Relatively High,December 2025
